Frequency	Mag [B/A]	Phase [B-A]
+5.64458132276360E+005	+3.92204831316482E+001	+1.19998504167951E+002
+5.97914146577090E+005	+3.59308180264037E+001	+1.11997810049758E+002
+6.33353133270078E+005	+3.34543920522777E+001	+1.07299118183542E+002
+6.70892625169401E+005	+3.13883479164151E+001	+1.04388349409318E+002
+7.10657121379958E+005	+2.96119690498347E+001	+1.02967106937620E+002
+7.52778500196699E+005	+2.81026024435085E+001	+1.02721354666560E+002
+7.97396456476814E+005	+2.68649549971944E+001	+1.03209130113575E+002
+8.44658964935417E+005	+2.58943309780144E+001	+1.03708107074132E+002
+8.94722770901248E+005	+2.50852089163903E+001	+1.03419006159469E+002
+9.47753910159959E+005	+2.42714238952162E+001	+1.02463987582073E+002
+1.00392825960907E+006	+2.34115356481133E+001	+1.01660761658982E+002
+1.06343212055077E+006	+2.25739331975606E+001	+1.01381743726642E+002
+1.12646283655715E+006	+2.18318996850390E+001	+1.01406645533269E+002
+1.19322944795685E+006	+2.11956643175419E+001	+1.00989054223886E+002
+1.26395338511389E+006	+2.05237345330894E+001	+9.94981575423363E+001
+1.33886920279782E+006	+1.96173286282355E+001	+9.77025551590607E+001
+1.41822535808070E+006	+1.84958337418186E+001	+9.71166175704699E+001
+1.50228503434093E+006	+1.72910899877795E+001	+9.83368264286102E+001
+1.59132701410654E+006	+1.60839887934969E+001	+1.01628713396084E+002
+1.68564660363283E+006	+1.49722716081002E+001	+1.07817102454335E+002
+1.78555661228074E+006	+1.43334865668699E+001	+1.17958294442667E+002
+1.89138838994389E+006	+1.49075754348705E+001	+1.29336016749651E+002
+2.00349292596502E+006	+1.66257266125895E+001	+1.33435134028030E+002
+2.12224201318638E+006	+1.80853969999763E+001	+1.26744111307507E+002
+2.24802948099455E+006	+1.82768215314693E+001	+1.15718961094634E+002
+2.38127250144907E+006	+1.75040917520490E+001	+1.07344924074201E+002
+2.52241297282668E+006	+1.64783183741660E+001	+1.02867053252568E+002
+2.67191898516971E+006	+1.55091149222829E+001	+1.00460730490269E+002
+2.83028637269893E+006	+1.45643573346512E+001	+9.89396266330410E+001
+2.99804035823955E+006	+1.35906972470488E+001	+9.82578905638160E+001
+3.17573729511407E+006	+1.25940698160500E+001	+9.86132551019776E+001
+3.36396651227889E+006	+1.15926134719272E+001	+1.00289314579019E+002
+3.56335226882403E+006	+1.06621904134597E+001	+1.03997208803246E+002
+3.77455582431810E+006	+1.01667339660771E+001	+1.10104516473715E+002
+3.99827763186477E+006	+1.04614779779643E+001	+1.14055452113905E+002
+4.23525966114389E+006	+1.06186405068339E+001	+1.12045970208565E+002
+4.48628785914168E+006	+1.00884135005901E+001	+1.09628411296683E+002
+4.75219475673093E+006	+9.34378922713356E+000	+1.09540051575676E+002
+5.03386222974592E+006	+8.63759986835361E+000	+1.10679322009136E+002
+5.33222442370900E+006	+7.88634649644703E+000	+1.11928192834950E+002
+5.64827085190885E+006	+6.64701061539650E+000	+1.14376027786385E+002
+5.98304967710493E+006	+5.14627173560266E+000	+1.26296132657678E+002
+6.33767118774196E+006	+5.63007807618414E+000	+1.48073352023000E+002
+6.71331148020319E+006	+8.93542776882133E+000	+1.59828407785426E+002
