Frequency	Mag [B/A]	Phase [B-A]
+1.78555661228074E+006	+1.36439644643111E+001	+1.14745587116543E+002
+1.89138838994389E+006	+1.41935906007864E+001	+1.24874336397864E+002
+2.00349292596502E+006	+1.57345006349321E+001	+1.27749216092515E+002
+2.12224201318638E+006	+1.68974874207844E+001	+1.21043658517159E+002
+2.24802948099455E+006	+1.69133527550318E+001	+1.11365940023289E+002
+2.38127250144907E+006	+1.61541844335019E+001	+1.04257432068427E+002
+2.52241297282668E+006	+1.52029910869172E+001	+1.00426935162157E+002
+2.67191898516971E+006	+1.43038184853570E+001	+9.83338989052717E+001
+2.83028637269893E+006	+1.34290602502276E+001	+9.69877742912374E+001
+2.99804035823955E+006	+1.25336634377602E+001	+9.63520589542267E+001
+3.17573729511407E+006	+1.16228319529955E+001	+9.65884460977953E+001
+3.36396651227889E+006	+1.07115894315365E+001	+9.79264613181712E+001
+3.56335226882403E+006	+9.86507916699803E+000	+1.00988181242504E+002
+3.77455582431810E+006	+9.39942301180884E+000	+1.06029678824826E+002
+3.99827763186477E+006	+9.60063821709428E+000	+1.09062736186789E+002
+4.23525966114389E+006	+9.65814401294492E+000	+1.07103192821546E+002
+4.48628785914168E+006	+9.15015005749629E+000	+1.04938640806393E+002
+4.75219475673093E+006	+8.48840621400429E+000	+1.04674459039507E+002
+5.03386222974592E+006	+7.88067608127886E+000	+1.05266343302614E+002
+5.33222442370900E+006	+7.24975886342073E+000	+1.05577772736381E+002
+5.64827085190885E+006	+6.15679859165379E+000	+1.06447767932866E+002
+5.98304967710493E+006	+4.79463991727996E+000	+1.15364919512211E+002
+6.33767118774196E+006	+5.16265835684588E+000	+1.32413549076087E+002
+6.71331148020319E+006	+7.83782089506100E+000	+1.38722139033051E+002
+7.11121635931468E+006	+9.66789526665850E+000	+1.28879177524012E+002
+7.53270547003642E+006	+9.88388538127528E+000	+1.17548390761131E+002
+7.97917667404298E+006	+9.38228089636072E+000	+1.09775671424520E+002
+8.45211068570874E+006	+8.71516900402394E+000	+1.05370381140186E+002
+8.95307598287265E+006	+8.14190080579444E+000	+1.03062659141254E+002
+9.48373400866907E+006	+7.69607518896359E+000	+1.01958766281116E+002
+1.00458446816764E+007	+7.53319617434516E+000	+1.01757758173746E+002
+1.06412722326582E+007	+7.65514714427903E+000	+1.01241084798405E+002
+1.12719913872535E+007	+8.55948556320357E+000	+1.00879435402912E+002
+1.19400939151218E+007	+1.06635508823137E+001	+7.88443214031949E+001
+1.26477955672627E+007	+6.05600328734436E+000	+6.38806289666076E+001
+1.33974434245175E+007	+5.29342289402967E+000	+7.64505812396261E+001
+1.41915236816240E+007	+6.25484777269433E+000	+6.85630552953421E+001
+1.50326698926402E+007	+5.12447623377279E+000	+5.60351286242764E+001
+1.59236717050830E+007	+3.30062450088777E+000	+5.09143899049630E+001
+1.68674841117480E+007	+2.20003606690239E+000	+4.31162959595934E+001
+1.78672372508943E+007	-4.91250608793711E-001	+3.80657283260985E+001
+1.89262467872965E+007	-3.08822901882557E+000	+3.48609487342741E+001
+2.00480249085920E+007	-1.01446059251780E+001	+3.92651772332982E+001
+2.12362919733933E+007	-9.38116994105627E+000	+1.21234773554928E+002
+2.24949888497959E+007	-1.99608436778037E+000	+1.08092656041615E+002
+2.38282899852024E+007	-2.57207633596576E+000	+9.64442564748320E+001
+2.52406172508082E+007	-1.05940009133326E+000	+9.77780810953638E+001
+2.67366546066644E+007	-2.68876554145631E-001	+8.99213134119860E+001
+2.83213636359539E+007	-1.15467019328579E-001	+7.79658455566147E+001
+3.00000000000000E+007	-1.59027037948421E+000	+7.23941330106036E+001
